As one of the main arteries of urban transportation, the city subway carries a huge passenger flow and its operation and management are very complex. Among them, crew scheduling is one of the key links in subway operation management and also the starting point and difficulty of crew management. The subway transportation volume is large, with complex and changing routes, and frequent operation intervals. Crew drivers face huge, continuous, and high-intensity transportation tasks. It is important to arrange the driver's shift and duty mode reasonably and achieve the optimal allocation of personnel to ensure the efficient and stable operation of the subway. Due to the increasing complexity of the subway operation network, traditional manual scheduling methods can no longer meet the high standard operation requirements. Automated and intelligent crew scheduling has become an inevitable trend.

The general process of crew scheduling for subway operating companies is as follows: export train operation section and time information tables based on the current operation chart, manually divide the crew duty roster based on these information tables, compile the crew scheduling master table based on the duty roster, and finally allocate the crew groups based on the scheduling master table to form the final scheduling table. The entire process relies on manual compilation and mainly has the following three major problems:

1. Low scheduling efficiency: Crew scheduling business rules are complex, and the workload is large. The efficiency of manual compilation is very low, requiring at least one week. The manpower and time costs are high.

2. Difficulty in adjustment: When encountering unexpected situations such as train failures and temporary leave of crew members, it is difficult to quickly adjust the scheduling plan based on manual methods, affecting the efficiency of operation management.

3. Uneven task assignment: Manual scheduling has subjective limitations and strong dependence on human experience. If the scheduling is unreasonable, it may lead to uneven task assignment, unfair scheduling, and low crew satisfaction.

This subway line includes 40 platforms, among which A, M, and Z platforms are available for driver transfers and handovers. Please consider 200 driving tasks and their attributes such as time, location, and mileage, and consider classic constraints in crew scheduling scenarios, such as maximum continuous driving time constraint, mileage limit constraint, attendance location constraint, etc. Compare different mixed integer modeling methods to minimize the number of drivers as the goal and output the optimal task chain combination (i.e. the allocation and connection relationship of all tasks) for all tasks.

### Example
Mileage Information Table.csv = \"""
Departure Station,Arrival Station,Mileage
A,M,17.1
Z,M,26.4
\"""

Task Information Table.csv = \"""
Train Number,Train ID,Pickup Time,Pickup Location,Drop-off Time,Drop-off Location
358,M14,11:22:32,M,11:58:10,A
359,N28,11:27:11,M,12:21:43,Z
15,N22,11:27:43,Z,12:22:32,M
177,N30,11:28:10,A,12:03:11,M
360,L09,11:28:32,M,12:04:10,A
361,L02,11:33:11,M,12:27:43,Z
16,N23,11:33:43,Z,12:28:32,M
178,L06,11:34:10,A,12:09:11,M
362,M15,11:34:32,M,12:10:10,A
363,L03,11:39:11,M,12:33:43,Z
17,L11,11:39:43,Z,12:34:32,M
179,L07,11:40:10,A,12:15:11,M
364,N19,11:40:32,M,12:16:10,A
365,N29,11:45:11,M,12:39:43,Z
18,N24,11:45:43,Z,12:40:32,M
180,M13,11:46:10,A,12:21:11,M
366,L10,11:46:32,M,12:22:10,A
367,L04,11:51:11,M,12:45:43,Z
19,N25,11:51:43,Z,12:46:32,M
181,L08,11:52:10,A,12:27:11,M
368,M16,11:52:32,M,12:28:10,A
369,L05,11:57:11,M,12:51:43,Z
20,N26,11:57:43,Z,12:52:32,M
182,M14,11:58:10,A,12:33:11,M
370,N20,11:58:32,M,12:34:10,A
371,N30,12:03:11,M,12:57:43,Z
21,L12,12:03:43,Z,12:58:32,M
183,L09,12:04:10,A,12:39:11,M
372,M17,12:04:32,M,12:40:10,A
373,L06,12:09:11,M,13:03:43,Z
22,N27,12:09:43,Z,13:04:32,M
184,M15,12:10:10,A,12:45:11,M
374,N21,12:10:32,M,12:46:10,A
375,L07,12:15:11,M,13:09:43,Z
23,L01,12:15:43,Z,13:10:32,M
185,N19,12:16:10,A,12:51:11,M
376,M18,12:16:32,M,12:52:10,A
377,M13,12:21:11,M,13:15:43,Z
24,N28,12:21:43,Z,13:16:32,M
186,L10,12:22:10,A,12:57:11,M
378,N22,12:22:32,M,12:58:10,A
379,L08,12:27:11,M,13:21:43,Z
25,L02,12:27:43,Z,13:22:32,M
187,M16,12:28:10,A,13:03:11,M
380,N23,12:28:32,M,13:04:10,A
381,M14,12:33:11,M,13:27:43,Z
26,L03,12:33:43,Z,13:28:32,M
188,N20,12:34:10,A,13:09:11,M
382,L11,12:34:32,M,13:10:10,A
383,L09,12:39:11,M,13:33:43,Z
27,N29,12:39:43,Z,13:34:32,M
189,M17,12:40:10,A,13:15:11,M
384,N24,12:40:32,M,13:16:10,A
385,M15,12:45:11,M,13:39:43,Z
28,L04,12:45:43,Z,13:40:32,M
190,N21,12:46:10,A,13:21:11,M
386,N25,12:46:32,M,13:22:10,A
387,N19,12:51:11,M,13:45:43,Z
29,L05,12:51:43,Z,13:46:32,M
191,M18,12:52:10,A,13:27:11,M
388,N26,12:52:32,M,13:28:10,A
389,L10,12:57:11,M,13:51:43,Z
30,N30,12:57:43,Z,13:52:32,M
192,N22,12:58:10,A,13:33:11,M
390,L12,12:58:32,M,13:34:10,A
391,M16,13:03:11,M,13:57:43,Z
31,L06,13:03:43,Z,13:58:32,M
193,N23,13:04:10,A,13:39:11,M
392,N27,13:04:32,M,13:40:10,A
393,N20,13:09:11,M,14:03:43,Z
32,L07,13:09:43,Z,14:04:32,M
194,L11,13:10:10,A,13:45:11,M
394,L01,13:10:32,M,13:46:10,A
395,M17,13:15:11,M,14:09:43,Z
33,M13,13:15:43,Z,14:10:32,M
195,N24,13:16:10,A,13:51:11,M
396,N28,13:16:32,M,13:52:10,A
397,N21,13:21:11,M,14:15:43,Z
34,L08,13:21:43,Z,14:16:32,M
196,N25,13:22:10,A,13:57:11,M
398,L02,13:22:32,M,13:58:10,A
399,M18,13:27:11,M,14:21:43,Z
35,M14,13:27:43,Z,14:22:32,M
197,N26,13:28:10,A,14:03:11,M
400,L03,13:28:32,M,14:04:10,A
401,N22,13:33:11,M,14:27:43,Z
36,L09,13:33:43,Z,14:28:32,M
198,L12,13:34:10,A,14:09:11,M
402,N29,13:34:32,M,14:10:10,A
403,N23,13:39:11,M,14:33:43,Z
37,M15,13:39:43,Z,14:34:32,M
199,N27,13:40:10,A,14:15:11,M
404,L04,13:40:32,M,14:16:10,A
405,L11,13:45:11,M,14:39:43,Z
38,N19,13:45:43,Z,14:40:32,M
200,L01,13:46:10,A,14:21:11,M
406,L05,13:46:32,M,14:22:10,A
407,N24,13:51:11,M,14:45:43,Z
39,L10,13:51:43,Z,14:46:32,M
201,N28,13:52:10,A,14:27:11,M
408,N30,13:52:32,M,14:28:10,A
409,N25,13:57:11,M,14:51:43,Z
40,M16,13:57:43,Z,14:52:32,M
202,L02,13:58:10,A,14:33:11,M
410,L06,13:58:32,M,14:34:10,A
411,N26,14:03:11,M,14:57:43,Z
41,N20,14:03:43,Z,14:58:32,M
203,L03,14:04:10,A,14:39:11,M
412,L07,14:04:32,M,14:40:10,A
413,L12,14:09:11,M,15:03:43,Z
42,M17,14:09:43,Z,15:04:32,M
204,N29,14:10:10,A,14:45:11,M
414,M13,14:10:32,M,14:46:10,A
415,N27,14:15:11,M,15:09:43,Z
43,N21,14:15:43,Z,15:10:32,M
205,L04,14:16:10,A,14:51:11,M
416,L08,14:16:32,M,14:52:10,A
417,L01,14:21:11,M,15:15:43,Z
44,M18,14:21:43,Z,15:16:32,M
206,L05,14:22:10,A,14:57:11,M
418,M14,14:22:32,M,14:58:10,A
419,N28,14:27:11,M,15:21:43,Z
45,N22,14:27:43,Z,15:22:32,M
207,N30,14:28:10,A,15:03:11,M
420,L09,14:28:32,M,15:04:10,A
421,L02,14:33:11,M,15:27:43,Z
46,N23,14:33:43,Z,15:28:32,M
208,L06,14:34:10,A,15:09:11,M
422,M15,14:34:32,M,15:10:10,A
423,L03,14:39:11,M,15:33:43,Z
47,L11,14:39:43,Z,15:34:32,M
209,L07,14:40:10,A,15:15:11,M
424,N19,14:40:32,M,15:16:10,A
425,N29,14:45:11,M,15:39:43,Z
48,N24,14:45:43,Z,15:40:32,M
210,M13,14:46:10,A,15:21:11,M
426,L10,14:46:32,M,15:22:10,A
427,L04,14:51:11,M,15:45:43,Z
49,N25,14:51:43,Z,15:46:32,M
211,L08,14:52:10,A,15:27:11,M
428,M16,14:52:32,M,15:28:10,A
429,L05,14:57:11,M,15:51:43,Z
50,N26,14:57:43,Z,15:52:32,M
212,M14,14:58:10,A,15:33:11,M
430,N20,14:58:32,M,15:34:10,A

\"""
